Match Link,Date,Match Type
https://stats.espncricinfo.com/ci/engine/match/518963.html,21 Feb 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/518965.html,26 Feb 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/518966.html,28 Feb 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/535795.html,13 Mar 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/535797.html,16 Mar 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/535798.html,18 Mar 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/564781.html,21 Jul 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/564782.html,24 Jul 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/564783.html,28 Jul 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/564784.html,31 Jul 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/564785.html,4 Aug 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/589308.html,30 Dec 2012,ODI
https://stats.espncricinfo.com/ci/engine/match/589309.html,3 Jan 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/589310.html,6 Jan 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/565812.html,11 Jan 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/565813.html,15 Jan 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/565814.html,19 Jan 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/565815.html,23 Jan 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/565816.html,27 Jan 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/578614.html,6 Jun 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/578619.html,11 Jun 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/578623.html,15 Jun 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/566947.html,20 Jun 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/566948.html,23 Jun 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/597924.html,30 Jun 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/597925.html,2 Jul 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/597926.html,5 Jul 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/597928.html,9 Jul 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/597929.html,11 Jul 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/643665.html,24 Jul 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/643667.html,26 Jul 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/643669.html,28 Jul 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/643675.html,1 Aug 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/643677.html,3 Aug 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/647249.html,13 Oct 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/647251.html,16 Oct 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/647253.html,19 Oct 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/647255.html,23 Oct 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/647259.html,30 Oct 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/647261.html,2 Nov 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/676529.html,21 Nov 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/676531.html,24 Nov 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/676533.html,27 Nov 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/648651.html,5 Dec 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/648653.html,8 Dec 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/648655.html,11 Dec 2013,ODI
https://stats.espncricinfo.com/ci/engine/match/667641.html,19 Jan 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/667643.html,22 Jan 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/667645.html,25 Jan 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/667647.html,28 Jan 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/667649.html,31 Jan 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/710293.html,26 Feb 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/710297.html,28 Feb 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/710301.html,2 Mar 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/710307.html,5 Mar 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/667723.html,27 Aug 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/667725.html,30 Aug 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/667727.html,2 Sep 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/667729.html,5 Sep 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/770121.html,8 Oct 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/770123.html,11 Oct 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/770127.html,17 Oct 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/792289.html,2 Nov 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/792291.html,6 Nov 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/792293.html,9 Nov 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/792295.html,13 Nov 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/792297.html,16 Nov 2014,ODI
https://stats.espncricinfo.com/ci/engine/match/754749.html,18 Jan 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/754753.html,20 Jan 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/754757.html,26 Jan 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/754759.html,30 Jan 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/656405.html,15 Feb 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/656423.html,22 Feb 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/656439.html,28 Feb 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/656453.html,6 Mar 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/656465.html,10 Mar 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/656475.html,14 Mar 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/656485.html,19 Mar 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/656493.html,26 Mar 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/870731.html,18 Jun 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/870733.html,21 Jun 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/870735.html,24 Jun 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/903593.html,11 Oct 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/903595.html,14 Oct 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/903597.html,18 Oct 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/903599.html,22 Oct 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/903601.html,25 Oct 2015,ODI
https://stats.espncricinfo.com/ci/engine/match/895807.html,12 Jan 2016,ODI
https://stats.espncricinfo.com/ci/engine/match/895809.html,15 Jan 2016,ODI
https://stats.espncricinfo.com/ci/engine/match/895811.html,17 Jan 2016,ODI
https://stats.espncricinfo.com/ci/engine/match/895813.html,20 Jan 2016,ODI
https://stats.espncricinfo.com/ci/engine/match/895815.html,23 Jan 2016,ODI
https://stats.espncricinfo.com/ci/engine/match/1030219.html,16 Oct 2016,ODI
https://stats.espncricinfo.com/ci/engine/match/1030221.html,20 Oct 2016,ODI
https://stats.espncricinfo.com/ci/engine/match/1030223.html,23 Oct 2016,ODI
https://stats.espncricinfo.com/ci/engine/match/1030225.html,26 Oct 2016,ODI
https://stats.espncricinfo.com/ci/engine/match/1030227.html,29 Oct 2016,ODI
https://stats.espncricinfo.com/ci/engine/match/1034819.html,15 Jan 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1034821.html,19 Jan 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1034823.html,22 Jan 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1022353.html,4 Jun 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1022361.html,8 Jun 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1022367.html,11 Jun 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1022373.html,15 Jun 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1022375.html,18 Jun 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1098206.html,23 Jun 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1098207.html,25 Jun 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1098208.html,30 Jun 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1098209.html,2 Jul 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1098210.html,6 Jul 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1109605.html,20 Aug 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1109606.html,24 Aug 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1109607.html,27 Aug 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1109608.html,31 Aug 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1109609.html,3 Sep 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1119496.html,17 Sep 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1119497.html,21 Sep 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1119498.html,24 Sep 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1119499.html,28 Sep 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1119500.html,1 Oct 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1120090.html,22 Oct 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1120091.html,25 Oct 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1120092.html,29 Oct 2017,ODI
https://stats.espncricinfo.com/ci/engine/match/1122279.html,1 Feb 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1122280.html,4 Feb 2018,ODI
https://stats.espncricinfo.com/ci/engine/match/1122281.html,7 Feb 2018,ODI
